name,latitude,longitude
Altenburg,50.981817,12.506361
Dessau,51.831828,12.184033
Eisenhuettenstadt,52.197333,14.585667
Greencastle,39.6335556,-86.8138056
Suhl,51.308111,13.554973
Muehlhausen,51363,11.940833
Halle,51552,12.052667
Riesa,51.2935,13356
Rechlin-laerz,53.306417,12.753139
Strausberg,52.579978,13.915683
Schoenhagen,52.203258,13.158408
Barth,54.33754,12.699705
Jena,50.915161,11.714519
Kyritz,52.918833,12.425333
Magdeburg,52.073658,11.626467
Rothenburg/ol,51.363167,14.95
Anklam,53.8327,13.669131
Cottbus,51.889475,14.531986
Kamenz,51.29625,14129
Berlin,52.380001,13.5225
Dresden,51.132767,13.767161
Erfurt,50.979811,10.958106
Frankfurt,50.026421,8.543125
Munster,52.134642,7.684831
Hamburg,53.630389,9.988228
Berlin,52.473025,13.403944
Cologne,50.865917,7.142744
Duesseldorf,51.289453,6.766775
Munich,48.353783,11.786086
Nuernberg,49.4987,11.066897
Leipzig,51.432447,12.241633
Saarbruecken,49.214553,7.109508
Stuttgart,48.689878,9.221964
Berlin,52.559686,13.287711
Hannover,52.461056,9.685078
Bremen,53.0475,8.786667
Egelsbach,49.960833,8.6415
Hahn,49.948672,7.263892
Mannheim,49.472706,8.514264
Allendorf,51.034878,8.680839
Worms,49.606511,8.3684
Mainz,49.968931,8.148336
Eisenach,50.992797,10.472711
Siegerland,50.707658,8.082969
Hamburg,53.535886,9.837025
Kiel,54.3795,10.145167
Luebeck,53.805367,10.719222
Dahlemer Binz,50.405888,6.528083
Meinerzhagen,51.099445,7.601944
Arnsberg,51.483333,7.899333
Essen,51.402333,6.937333
Bielefeld,51.964833,8.544833
Moenchengladbach,51.230356,6.504494
Paderborn,51.614089,8.616317
Stadtlohn,51.995844,6.840667
Dortmund,51.518314,7.612242
Augsburg,48.425158,10.931764
Biberach,48111,9.762833
Eggenfelden,48.396167,12.723667
Mindelheim,48.108833,10.524333
Oberpfaffenhofen,48.081364,11.283067
Straubing,48.90095,12.518186
Vilshofen,48.635167,13.195667
Leutkirch,47.859117,10.014572
Friedrichshafen,47.671317,9.511486
Parchim,53.426997,11.783436
Stendal,52.627778,11.818333
Aalen-heidenheim,48.777833,10.264667
Bayreuth,49.984428,11.638569
Burg Feuerstein,49.793833,11.133167
Hof,50.288836,11.854919
Hassfurt,50018,10.5295
Koblenz,50.3255,7.528667
Trier,49.8635,6.788167
Speyer,49.302776,8.451195
Zweibruecken,49.209525,7.400647
Donaueschingen,47.973331,8.522223
Freiburg,48.022653,7.832583
Mengen,48.053833,9.372833
Schwaebisch Hall,49.118317,9.783956
Soest,51.6075,13738
Braunschweig,52.319167,10.556111
Kassel,51.408394,9.377631
Hildesheim,52.179833,9.945667
Bremerhaven,53.507081,8.572878
Emden,53.391186,7.227408
Leer,53.271592,7.442344
Wilhelmshaven,53.504833,8.053333
Borkum,53.5955,6.709167
Norderney,53.706822,7.230247
Flensburg,54.771772,9.378214
Rendsburg,54.220928,9.600803
Westerland,54.91325,8.340472
